lizard,frequency,date,time,time.block,time.class,lat,long,ground,mesohabitat,microhabitat.simple,microhabitat1,microhabitat2,microhabitat3,behavior,observer
a,0,27-Jun,5:38,early morn,AM,35.11705,-119.62331,below,open,burrow,burrow,,,standing,taylor
a,0,26-Jun,15:48,afternoon,PM,35.11707,-119.62331,below,open,burrow,burrow,,,standing,taylor
a,0,26-Jun,5:48,early morn,AM,35.11705,-119.6233,below,open,burrow,burrowmound,,,standing,taylor
a,0,5-Jul,19:57,evening,PM,35.11708,-119.6233,below,open,burrow,burrow,,,standing,taylor
a,0,30-Jun,16:17,afternoon,PM,35.11584,-119.62319,below,shrub,burrow,burrow,undershrub,,standing,taylor
ac,979,21-Jun,14:39,afternoon,PM,35.11297,-119.62308,below,shrub,burrow,burrow,undershrub,,standing,taylor
ac,979,21-Jun,6:03,early morn,AM,35.11295,-119.62307,below,open,burrow,burrow,,,standing,taylor
u,820,27-Jun,15:47,afternoon,PM,35.11412,-119.62305,above,shrub,burrow,burrow,undershrub,washbank,cooling,taylor
a,0,4-Jul,18:17,afternoon,PM,35.11662,-119.62302,above,open,wash,wash,,,sunning,taylor
n,620,18-Jun,10:34,morn,AM,35.11407,-119.62299,above,shrub ,shrub,shrubedge,washbank,,sunning,taylor
r,760,15-Jun,16:37,afternoon,PM,35.11128,-119.62298,below,open,burrow,burrow,,,standing,taylor
r,760,15-Jun,10:01,morn,AM,35.11128,-119.62296,above,open,burrow,burrow,barepatch,,sunning,taylor
u,820,27-Jun,6:27,early morn,AM,35.11409,-119.62296,below,open ,burrow,burrow,washbank,,standing,taylor
r,760,18-Jun,10:43,morn,AM,35.11131,-119.62293,above,open,burrow,burrowopening,,,sunning,taylor
u,820,21-Jun,5:52,early morn,AM,35.11401,-119.62292,below,open,burrow,burrow,wash,,standing,taylor
u,820,18-Jun,20:27,evening,PM,35.11404,-119.6229,below,open,burrow,burrow,washbank,,standing,taylor
r,760,18-Jun,20:13,evening,PM,35.11132,-119.62289,below,open,burrow,burrow,,,standing,taylor
u,820,15-Jun,19:15,evening,PM,35.11404,-119.62289,below,open,burrow,burrow,washbank,,standing,taylor
r,760,26-Jun,6:58,early morn,AM,35.11129,-119.62288,below,open,burrow,burrow,,,standing,taylor
r,760,21-Jun,6:17,early morn,AM,35.1113,-119.62287,below,open,burrow,burrow,,,standing,taylor
u,820,4-Jul,17:10,afternoon,PM,35.11374,-119.62287,below,open,burrow,burrow,,,standing,taylor
u,820,18-Jul,11:24,morn,AM,35.11375,-119.62287,below,open,burrow,burrow,,,standing,taylor
u,820,5-Jul,11:23,morn,AM,35.11378,-119.62287,below,open,burrow,burrow,,,standing,taylor
r,760,3-Jul,5:55,early morn,AM,35.11127,-119.62286,below,open,burrow,burrow,,,standing,taylor
r,760,15-Jun,19:22,evening,PM,35.11133,-119.62286,below,open,burrow,burrow,,,standing,taylor
u,820,4-Jul,19:52,evening,PM,35.11376,-119.62286,below,open,burrow,burrow,,,standing,taylor
u,820,18-Jul,13:58,afternoon,PM,35.11376,-119.62286,below,open,burrow,burrow,,,standing,taylor
u,820,3-Jul,16:53,afternoon,PM,35.11377,-119.62286,below,open,burrow,burrow,,,standing,taylor
u,820,4-Jul,9:46,morn,AM,35.11377,-119.62286,below,open,burrow,burrow,,,standing,taylor
u,820,11-Jul,10:53,morn,AM,35.11377,-119.62286,below,open,burrow,burrow,,,standing,taylor
i,439,4-Jul,19:55,evening,PM,35.11421,-119.62286,below,open,burrow,burrow,,,standing,taylor
u,820,5-Jul,16:58,afternoon,PM,35.11375,-119.62285,below,open,burrow,burrow,,,standing,taylor
u,820,5-Jul,19:43,evening,PM,35.11375,-119.62285,below,open,burrow,burrow,,,standing,taylor
u,820,29-Jun,19:15,evening,PM,35.11398,-119.62283,above,open,wash,washbank,,,sunning,taylor
r,760,5-Jul,19:30,evening,PM,35.11132,-119.62281,below,open,burrow,burrow,,,standing,taylor
u,820,25-Jun,15:09,afternoon,PM,35.11395,-119.6228,below,shrub,shrub,undershrub,burrow,washbank,standing,taylor
ac,979,24-Jun,10:08,morn,AM,35.11317,-119.62278,above,shrub,shrub,shrubedge,,,sunning,taylor
a,0,27-Jun,15:27,afternoon,PM,35.11715,-119.62278,below,shrub,burrow,burrow,,,standing,taylor
r,760,28-Jun,16:00,afternoon,PM,35.11128,-119.62276,below,open,burrow,burrow,,,standing,taylor
r,760,23-Jun,9:13,morn,AM,35.11129,-119.62276,above,open,burrow,burrow,barepatch,,sunning,taylor
r,760,30-Jun,15:53,afternoon,PM,35.11128,-119.62274,below,open,burrow,burrow,,,standing,taylor
r,760,23-Jun,19:06,evening,PM,35.11131,-119.62274,below,open,burrow,burrow,,,standing,taylor
w,860,26-Jun,9:57,morn,AM,35.11504,-119.62274,above,shrub,shrub,shrubedge,burrowopenning,,sunning,taylor
r,760,24-Jun,5:57,early morn,AM,35.11126,-119.62273,below,open,burrow,burrow,,,standing,taylor
r,760,28-Jun,19:35,evening,PM,35.11129,-119.62273,below,open,burrow,burrow,,,standing,taylor
r,760,30-Jun,19:07,evening,PM,35.11131,-119.62273,below,open,burrow,burrow,,,standing,taylor
r,760,22-Jun,9:41,morn,AM,35.11141,-119.62273,above,open,burrow,burrow,barepatch,,sunning,taylor
r,760,25-Jun,6:06,early morn,AM,35.1126,-119.62273,below,open,burrow,burrow,,,standing,taylor
ac,979,4-Jul,9:34,morn,AM,35.1132,-119.62273,above,open,bare,trail,,,sunning,taylor
r,760,26-Jun,15:11,afternoon,PM,35.11127,-119.62272,below,open,burrow,burrow,,,standing,taylor
r,760,22-Jun,19:29,evening,PM,35.11128,-119.62272,below,open,burrow,burrow,,,standing,taylor
